tf,target,mode,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AHR,CYP1B1,Activation,1.0,A,0.2662554184728268,0.1917305768589543,0.5568498,0.5604354,0.13052697993029855,0.9223087636679363,0
AHR,MYC,Activation,1.0,A,0.2662554184728268,0.2710070023341127,0.5568498,0.41546583,0.07529058761823003,1.4853499567263537,2
ARNT,BHLHE40,Activation,1.0,A,0.1537179059686541,0.0763587862620865,0.18547884,0.09153112,-0.0481352094304619,0.10290917250824703,3
ARNT,CYP1B1,Activation,1.0,A,0.1537179059686541,0.1917305768589543,0.18547884,0.5604354,0.13052697993029855,0.9223087636679363,4
ATF1,BCL2,Activation,1.0,A,0.1751417139046347,0.3046848949649814,0.20815232,0.5778597,0.13716599714310515,1.7245388547237723,5
ATF1,LDHA,Activation,1.0,A,0.1751417139046347,0.5974491497164939,0.20815232,1.1864247,0.3690417976120861,3.8038245224637093,6
ATF1,MAP1LC3B,Activation,1.0,A,0.1751417139046347,0.4727409136378314,0.20815232,0.73309445,0.1963136344815195,2.9181151378,7
ATF1,PLAUR,Activation,1.0,A,0.1751417139046347,0.2094031343781289,0.20815232,0.33994368,0.04651509283231819,1.047823729943851,8
ATF1,SLC20A1,Activation,1.0,A,0.1751417139046347,0.3022674224741518,0.20815232,0.5087461,0.11083229191310842,1.7073693546199977,9
ATF2,ATF3,Activation,1.0,A,0.1853951317105709,0.0570190063354454,0.22132294,0.07219076,-0.05550428497105042,-0.03444682832197943,10
ATF2,CDKN1A,Activation,1.0,A,0.1853951317105709,0.0708569523174387,0.22132294,0.104368836,-0.043243775197974905,0.06383375847895917,11
ATF2,DUSP1,Activation,1.0,A,0.1853951317105709,0.5256752250749642,0.22132294,5.0690584,1.848405213377602,3.2940679848999035,12
ATF2,DUSP10,Activation,0.5,B,0.1853951317105709,0.0608536178726244,0.22132294,0.06727239,-0.05737828525163281,-0.007212448847019566,13
ATF2,IMPDH2,Activation,1.0,A,0.1853951317105709,0.2448316105368516,0.22132294,0.31251734,0.03606509235343024,1.2994457142233973,14
ATF2,JUN,Activation,1.0,A,0.1853951317105709,0.6497165721906392,0.22132294,2.2591062,0.777755544641191,4.175040955741881,15
ATF2,PCK2,Activation,1.0,A,0.1853951317105709,0.0909469823274405,0.22132294,0.10086803,-0.04457765439499842,0.20651822485863136,16
ATF3,CCL5,Activation,1.0,A,0.0570190063354454,0.1663054351450474,0.07219076,2.0445166,0.6959924868374749,0.7417329867143793,17
ATF3,DDIT3,Activation,1.0,A,0.0570190063354454,0.0737745915305095,0.07219076,0.08302811,-0.05137503138891457,0.08455556894903601,18
ATF3,LDLR,Repression,-1.0,A,0.0570190063354454,0.0981160386795573,0.07219076,0.12854405,-0.03403252069310047,0.25743467344224863,19
ATF4,ATF3,Activation,1.0,A,0.3902134044681283,0.0570190063354454,0.57252413,0.07219076,-0.05550428497105042,-0.03444682832197943,20
ATF4,CEBPB,Activation,1.0,A,0.3902134044681283,0.5541847282426798,0.57252413,2.421915,0.8397890510429626,3.4965496757789065,21
ATF4,DDIT3,Activation,1.0,A,0.3902134044681283,0.0737745915305095,0.57252413,0.08302811,-0.05137503138891457,0.08455556894903601,22
ATF4,DDIT4,Activation,1.0,A,0.3902134044681283,0.1658886295431801,0.57252413,0.24057966,0.008655354471886947,0.7387727280757965,23
ATF4,DISC1,Activation,1.0,A,0.3902134044681283,0.1190396798932936,0.57252413,0.13863088,-0.030189230690480313,0.40603965709908557,24
