tf,target,mode,pmid,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AATF,BAX,Repression,22909821,0.1226150646532233,0.4275250926846903,0.13654177,0.6769006,1.0845257467590663,5.650152432357667,0
AATF,CDKN1A,Unknown,17157788,0.1226150646532233,0.0531693643186543,0.13654177,0.05931813,0.02746112920590263,0.4894094061553563,1
AATF,MYC,Activation,20549547,0.1226150646532233,0.1900714350302917,0.13654177,0.40753916,0.6234821430486673,2.3766956239501154,2
AATF,TP53,Unknown,17157788,0.1226150646532233,0.1031738855231031,0.13654177,0.11601565,0.12450556489886012,1.178755032602187,3
AHR,MYC,Unknown,11114727;16091746,0.0573288724116103,0.1900714350302917,0.062573396,0.40753916,0.6234821430486673,2.3766956239501154,5
AHR,PCNA,Activation,12417031,0.0573288724116103,0.084365675015824,0.062573396,0.09467497,0.08797849549787073,0.9194713250055493,6
AIP,AHR,Activation,11469723,0.2186454471471195,0.0573288724116103,0.26358518,0.062573396,0.03303289763599396,0.5467509953353825,7
AIP,NFKB2,Repression,21984905,0.2186454471471195,0.2054435301564332,0.26358518,0.2710919,0.38993670140412523,2.588610192658905,8
AIP,RSF1,Repression,21984905,0.2186454471471195,0.1447689664526627,0.26358518,0.16195028,0.20312805574351783,1.7521709244024444,9
APBB1,GMPS,Repression,21453247,0.0503662175603579,0.0548874220092231,0.051541667,0.058504313,0.02606818624257134,0.5130939755992804,10
APEX1,NFKB1,Activation,17045925,0.1777737589293784,0.0955782620490096,0.2196408,0.12225483,0.1351846510791161,1.0740443045343138,11
APEX1,RELA,Activation,17045925,0.1777737589293784,0.1214395514965184,0.2196408,0.13220173,0.15220993362047378,1.4305594024796915,12
ARID1A,CDKN1A,Unknown,21900401,0.0790306537661631,0.0531693643186543,0.08572277,0.05931813,0.02746112920590263,0.4894094061553563,13
ARID1A,SMAD3,Unknown,21900401,0.0790306537661631,0.0959399584049188,0.08572277,0.10362737,0.10330157499231128,1.0790305296804028,14
ASH1L,TGFB1,Unknown,22488473,0.1425987883172074,0.216113572655755,0.15860471,0.28564844,0.4148519218571885,2.735703834468536,15
ASH1L,TIMP1,Unknown,22488473,0.1425987883172074,0.1614069988244865,0.15860471,0.23880976,0.3346820437178446,1.9815372811225467,16
ATF1,BCL2,Unknown,10542244,0.0982909847183287,0.0994664978750337,0.106340036,0.11927093,0.1300773572915886,1.1276462248547732,17
ATF1,FTH1,Activation,17565989,0.0982909847183287,0.9669952075232824,0.106340036,7.3082232,12.434809844105047,13.087107237749693,18
ATF1,LDHA,Unknown,9632793,0.0982909847183287,0.647979021611356,0.106340036,1.7008196,2.8370828524366574,8.689256658899028,19
ATF1,MAP1LC3B,Activation,20514020,0.0982909847183287,0.3097929288362414,0.106340036,0.40509352,0.6192961441953113,4.027136147305637,20
ATF1,SLC20A1,Activation,11722845,0.0982909847183287,0.0610362600596797,0.106340036,0.06483408,0.03690232266657903,0.5978598030827962,21
ATF1,USP7,Unknown,7642633,0.0982909847183287,0.0606745637037705,0.106340036,0.064201094,0.03581889310614071,0.5928735779367071,22
ATF2,CDKN1A,Unknown,10506225,0.057238448322633,0.0531693643186543,0.060131945,0.05931813,0.02746112920590263,0.4894094061553563,23
ATF2,DUSP1,Unknown,17681939,0.057238448322633,0.0708020616692285,0.060131945,0.08102051,0.06460729045412174,0.7324878820272048,24
ATF2,FAS,Unknown,19670268,0.057238448322633,0.1533592549055065,0.060131945,0.18482736,0.24228485341125786,1.8705937716220622,25
ATF2,KAT5,Repression,18397884,0.057238448322633,0.0918708744009402,0.060131945,0.097839974,0.09339576995971585,1.0229354967869002,26
ATF2,IMPDH2,Unknown,9278455,0.057238448322633,0.2188262953250741,0.060131945,0.29414862,0.42940097393898263,2.7731005230642047,27
ATF2,JUN,Activation,9502786,0.057238448322633,0.212225336829731,0.060131945,0.31331745,0.46221066808864275,2.6821019141480775,28
ATF2,PCK2,Unknown,11042264,0.057238448322633,0.0518130029839948,0.060131945,0.056334138,0.02235367794961665,0.4707110618575225,29
ATF2,RELA,Activation,21350211,0.057238448322633,0.1214395514965184,0.060131945,0.13220173,0.15220993362047378,1.4305594024796915,30
ATF4,ATG5,Activation,20038797,0.3417126322452294,0.0993760737860564,0.55799824,0.10760607,0.11011158531183796,1.126399668568251,31
ATF4,CEBPB,Activation,16026328,0.3417126322452294,0.3232661180938596,0.55799824,0.4915372,0.767254611246826,4.212873033997459,32
ATF4,DDIT3,Activation,16246168;17276738;20020050;21044953;21966512,0.3417126322452294,0.0709829098471831,0.55799824,0.07532365,0.054856448372814094,0.7349809946002492,33
ATF4,DDIT4,Activation,19059405;19439225,0.3417126322452294,0.3124152274165832,0.55799824,0.669762,1.0723071980705567,4.0632862796147835,34
ATF4,HSPA5,Repression,16205636,0.3417126322452294,0.2642191879916805,0.55799824,0.44099292,0.6807421653742934,3.398871778898399,35
