tf,target,mode,weight,confidence,tf_detection_rate,target_detection_rate,tf_mean_counts,target_mean_counts,target_z_mean_counts,target_z_detection_rate,edge_id_original
AHR,MYC,Activation,1.0,A,0.0573288724116103,0.1900714350302917,0.062573396,0.40753916,0.6234821430486673,2.3766956239501154,0
ATF1,BCL2,Activation,1.0,A,0.0982909847183287,0.0994664978750337,0.106340036,0.11927093,0.1300773572915886,1.1276462248547732,1
ATF1,LDHA,Activation,1.0,A,0.0982909847183287,0.647979021611356,0.106340036,1.7008196,2.8370828524366574,8.689256658899028,2
ATF1,MAP1LC3B,Activation,1.0,A,0.0982909847183287,0.3097929288362414,0.106340036,0.40509352,0.6192961441953113,4.027136147305637,3
ATF1,SLC20A1,Activation,1.0,A,0.0982909847183287,0.0610362600596797,0.106340036,0.06483408,0.03690232266657903,0.5978598030827962,4
ATF2,CDKN1A,Activation,1.0,A,0.057238448322633,0.0531693643186543,0.060131945,0.05931813,0.02746112920590263,0.4894094061553563,5
ATF2,DUSP1,Activation,1.0,A,0.057238448322633,0.0708020616692285,0.060131945,0.08102051,0.06460729045412174,0.7324878820272048,6
ATF2,IMPDH2,Activation,1.0,A,0.057238448322633,0.2188262953250741,0.060131945,0.29414862,0.42940097393898263,2.7731005230642047,7
ATF2,JUN,Activation,1.0,A,0.057238448322633,0.212225336829731,0.060131945,0.31331745,0.46221066808864275,2.6821019141480775,8
ATF2,PCK2,Activation,1.0,A,0.057238448322633,0.0518130029839948,0.060131945,0.056334138,0.02235367794961665,0.4707110618575225,9
ATF4,CEBPB,Activation,1.0,A,0.3417126322452294,0.3232661180938596,0.55799824,0.4915372,0.767254611246826,4.212873033997459,10
ATF4,DDIT3,Activation,1.0,A,0.3417126322452294,0.0709829098471831,0.55799824,0.07532365,0.054856448372814094,0.7349809946002492,11
ATF4,DDIT4,Activation,1.0,A,0.3417126322452294,0.3124152274165832,0.55799824,0.669762,1.0723071980705567,4.0632862796147835,12
ATF4,MCL1,Activation,1.0,A,0.3417126322452294,0.3135907405732881,0.55799824,0.41323143,0.6332251288082198,4.079491511339573,13
ATF6,ATP2A2,Activation,1.0,A,0.0690840039786597,0.0554299665430869,0.07261086,0.06004152,0.02869929578419263,0.5205733133184138,14
ATF6,DDIT3,Activation,1.0,A,0.0690840039786597,0.0709829098471831,0.07261086,0.07532365,0.054856448372814094,0.7349809946002492,15
ATF6,DNAJC3,Activation,1.0,A,0.0690840039786597,0.12876390270368,0.07261086,0.1529985,0.18780603745158014,1.5315304616879974,16
ATF6,HSPA5,Activation,1.0,A,0.0690840039786597,0.2642191879916805,0.07261086,0.44099292,0.6807421653742934,3.398871778898399,17
ATF6,RTN3,Activation,1.0,A,0.0690840039786597,0.1104078126412874,0.07261086,0.117824495,0.12760161464285294,1.278479535523971,18
ATF6,XBP1,Activation,1.0,A,0.0690840039786597,0.3354733701057955,0.07261086,0.54226434,0.8540800433930231,4.381158132677968,19
CEBPB,BCL2L1,Activation,1.0,A,0.3232661180938596,0.105524911836513,0.4915372,0.13129713,0.15066160493647054,1.2111654960517668,20
CEBPB,CDKN1A,Activation,1.0,A,0.3232661180938596,0.0531693643186543,0.4915372,0.05931813,0.02746112920590263,0.4894094061553563,21
CEBPB,CSRP1,Activation,1.0,A,0.3232661180938596,0.0573288724116103,0.4915372,0.059408553,0.027615898744476185,0.5467509953353825,22
CEBPB,FURIN,Activation,1.0,A,0.3232661180938596,0.1334659553304998,0.4915372,0.19206047,0.25466516701677516,1.5963513885871572,23
CEBPB,GFER,Repression,-1.0,A,0.3232661180938596,0.1069716972601498,0.4915372,0.11782428,0.12760124664521083,1.2311103966361228,24
CEBPB,MAD1L1,Activation,0.5,B,0.3232661180938596,0.0528980920517224,0.4915372,0.055339474,0.020651194197521323,0.48566973729578944,25
CEBPB,TOP1,Activation,1.0,A,0.3232661180938596,0.148747626367664,0.4915372,0.18591228,0.24414182086189776,1.8070194010094247,26
CEBPB,XBP1,Activation,1.0,A,0.3232661180938596,0.3354733701057955,0.4915372,0.54226434,0.8540800433930231,4.381158132677968,27
CEBPD,GAPDH,Activation,1.0,A,0.093588932091509,0.9473731802152074,0.13003108,6.6319346,11.277262819956897,12.816604523574352,28
CREB1,AQP3,Activation,1.0,A,0.1137535039334476,0.11266841486572,0.12686683,0.15760984,0.19569888511208383,1.309643442687029,29
CREB1,BCL2,Activation,1.0,A,0.1137535039334476,0.0994664978750337,0.12686683,0.11927093,0.1300773572915886,1.1276462248547732,30
CREB1,CD4,Activation,1.0,A,0.1137535039334476,0.0595894746360429,0.12686683,0.06700434,0.04061697644697361,0.5779149024984402,32
CREB1,CXCR4,Activation,1.0,A,0.1137535039334476,0.5187629984627895,0.12686683,1.07857,1.7720298961139027,6.9079277254586655,33
CREB1,JUN,Repression,-1.0,A,0.1137535039334476,0.212225336829731,0.12686683,0.31331745,0.46221066808864275,2.6821019141480775,34
CREB1,NOLC1,Activation,1.0,A,0.1137535039334476,0.1162853784248121,0.12686683,0.1586943,0.1975550652189313,1.35950569414792,35
CREB1,ODC1,Activation,1.0,A,0.1137535039334476,0.1763269735057415,0.12686683,0.307531,0.45230648224567266,2.1872190683987247,36
CREB1,POLD2,Activation,1.0,A,0.1137535039334476,0.1354552852880004,0.12686683,0.17379534,0.22340226109587225,1.623775626890647,37
CREB1,PPP2CA,Activation,1.0,A,0.1137535039334476,0.1885342255176775,0.12686683,0.22868316,0.31734918361235315,2.3555041670792356,38
CREB1,SLC20A1,Activation,1.0,A,0.1137535039334476,0.0610362600596797,0.12686683,0.06483408,0.03690232266657903,0.5978598030827962,39
CREB1,UXT,Activation,1.0,A,0.1137535039334476,0.4383759833619667,0.12686683,0.67256045,1.077097072496545,5.799739186740342,40
CREM,CD247,Repression,-1.0,A,0.3177502486662441,0.2822135816981638,0.6042047,0.3606962,0.5433049391888198,3.6469364799163357,41
CREM,DUSP1,Repression,-1.0,A,0.3177502486662441,0.0708020616692285,0.6042047,0.08102051,0.06460729045412174,0.7324878820272048,42
CTCF,ATXN7,Activation,1.0,A,0.091509178045031,0.0816529523465049,0.09901552,0.0870792,0.07497744689286127,0.8820746364098804,43
CTCF,BBC3,Activation,1.0,A,0.091509178045031,0.1107695089971966,0.09901552,0.1260529,0.14168549203075473,1.2834657606700604,44
CTCF,PBXIP1,Activation,1.0,A,0.091509178045031,0.1569762184645986,0.09901552,0.18238546,0.23810525600525786,1.9204560230829537,45
CTCF,MYC,Repression,-1.0,A,0.091509178045031,0.1900714350302917,0.09901552,0.40753916,0.6234821430486673,2.3766956239501154,46
CTCF,RAD21,Activation,1.0,A,0.091509178045031,0.1846459896916535,0.09901552,0.22072554,0.303728786417573,2.3019022467587775,47
CTCF,RBL2,Activation,1.0,A,0.091509178045031,0.0923229948458267,0.09901552,0.09964857,0.09649139351109061,1.0291682782195113,48
E2F4,LTBP4,Activation,0.5,B,0.1642101455827829,0.0636585586400215,0.19558777,0.06890332,0.043867302783861244,0.6340099353919428,49
E2F4,MYC,Repression,-1.0,A,0.1642101455827829,0.1900714350302917,0.19558777,0.40753916,0.6234821430486673,2.3766956239501154,50
ELF2,VCP,Activation,1.0,A,0.0837327063929829,0.229225065557464,0.08924939,0.3160306,0.4668545415896414,2.916454496014269,51
ETS1,ATXN2,Activation,1.0,A,0.2859209693462333,0.0707116375802512,0.3929772,0.074871525,0.05408258356377695,0.7312413257406826,52
ETS1,BAX,Repression,-1.0,A,0.2859209693462333,0.4275250926846903,0.3929772,0.6769006,1.0845257467590663,5.650152432357667,53
ETS1,CD6,Activation,1.0,A,0.2859209693462333,0.2681074238177045,0.3929772,0.35454807,0.5327816957309588,3.4524736992188583,54
ETS1,CD8A,Activation,1.0,A,0.2859209693462333,0.2254272538204173,0.3929772,0.35174638,0.5279862756660847,2.8640991319803333,55
ETS1,CDKN1A,Activation,1.0,A,0.2859209693462333,0.0531693643186543,0.3929772,0.05931813,0.02746112920590263,0.4894094061553563,56
ETS1,CSNK2A1,Activation,1.0,A,0.2859209693462333,0.0984718328962833,0.3929772,0.10715392,0.10933767771237733,1.1139341057030272,57
ETS1,CSNK2B,Activation,1.0,A,0.2859209693462333,0.2985803418030557,0.3929772,0.40916267,0.6262609702670688,3.8725631677768715,58
ETS1,CTSB,Activation,1.0,A,0.2859209693462333,0.1334659553304998,0.3929772,0.15688677,0.19446126625121468,1.5963513885871572,59
ETS1,CXCR4,Activation,1.0,A,0.2859209693462333,0.5187629984627895,0.3929772,1.07857,1.7720298961139027,6.9079277254586655,60
ETS1,FLI1,Activation,1.0,A,0.2859209693462333,0.0586852337462698,0.3929772,0.06067449,0.029782697958759895,0.5654493396332163,61
ETS1,IL2RB,Activation,1.0,A,0.2859209693462333,0.2064381951351836,0.3929772,0.289355,0.4211961327426397,2.6023223118106507,62
ETS1,LCK,Activation,1.0,A,0.2859209693462333,0.5194863911746079,0.3929772,0.8415558,1.366352376352584,6.917900175750844,63
